task,gt,pred,confidence,correct,image
enlarged capillaries,0,0,0.99,True,20201128200608_3e071a4d-6779-42df-ae55-78a6902ac355.jpg
enlarged capillaries,+,0,0.74,False,20201128201213_f5493a00-c7d7-448f-8c3c-0ed0f907955d.jpg
enlarged capillaries,++,0,0.77,False,20201128200815_b85e2c87-4b1a-47ec-90c0-bf6346b2af28.jpg
giant capillaries,0,0,0.961,True,20201128200608_3e071a4d-6779-42df-ae55-78a6902ac355.jpg
giant capillaries,+,+,0.579,True,20201128200609_ba604e39-1e5e-4f87-8337-a50b31ddb9b5.jpg
giant capillaries,++,+,0.52,False,20201128200827_26567557-d507-40f1-bd5b-87c440e8beb9.jpg
giant capillaries,+++,+,0.517,False,20201128200627_47f1a482-f087-4940-a97b-5e157161423b.jpg
capillary loss,0,0,0.539,True,20201128201213_f5493a00-c7d7-448f-8c3c-0ed0f907955d.jpg
capillary loss,+,0,0.434,False,20201128200608_3e071a4d-6779-42df-ae55-78a6902ac355.jpg
capillary loss,++,0,0.518,False,20201128200609_e9956c4d-5506-4ee2-aff3-d4c06f181396.jpg
capillary loss,+++,0,0.769,False,20201128200609_b9c1d4fd-7c69-4cf1-ac47-f9c9a9bda409.jpg
microhaemorrhages,0,0,0.985,True,20201128200608_3e071a4d-6779-42df-ae55-78a6902ac355.jpg
microhaemorrhages,+,0,0.954,False,20201128201353_884a2e80-3697-4830-ab42-b3dd8b000ed1.jpg
microhaemorrhages,++,0,0.885,False,20201128201355_835536f6-ccbd-455b-a765-239210318c57.jpg
microhaemorrhages,+++,+,0.488,False,20201128200559_047f192d-f9e5-49c3-be65-a020f4240818.jpg
